id,name,height,weight,type_1,type_2,hp,attack,defense,special_attack,special_defense,speed,base_stat_total
1,bulbasaur,7,69,grass,poison,45,49,49,65,65,45,318
2,ivysaur,10,130,grass,poison,60,62,63,80,80,60,405
3,venusaur,20,1000,grass,poison,80,82,83,100,100,80,525
4,charmander,6,85,fire,,39,52,43,60,50,65,309
5,charmeleon,11,190,fire,,58,64,58,80,65,80,405
6,charizard,17,905,fire,flying,78,84,78,109,85,100,534
7,squirtle,5,90,water,,44,48,65,50,64,43,314
8,wartortle,10,225,water,,59,63,80,65,80,58,405
9,blastoise,16,855,water,,79,83,100,85,105,78,530
10,caterpie,3,29,bug,,45,30,35,20,20,45,195
11,metapod,7,99,bug,,50,20,55,25,25,30,205
12,butterfree,11,320,bug,flying,60,45,50,90,80,70,395
13,weedle,3,32,bug,poison,40,35,30,20,20,50,195
14,kakuna,6,100,bug,poison,45,25,50,25,25,35,205
15,beedrill,10,295,bug,poison,65,90,40,45,80,75,395
16,pidgey,3,18,normal,flying,40,45,40,35,35,56,251
17,pidgeotto,11,300,normal,flying,63,60,55,50,50,71,349
18,pidgeot,15,395,normal,flying,83,80,75,70,70,101,479
19,rattata,3,35,normal,,30,56,35,25,35,72,253
20,raticate,7,185,normal,,55,81,60,50,70,97,413
21,spearow,3,20,normal,flying,40,60,30,31,31,70,262
22,fearow,12,380,normal,flying,65,90,65,61,61,100,442
23,ekans,20,69,poison,,35,60,44,40,54,55,288
24,arbok,35,650,poison,,60,95,69,65,79,80,448
25,pikachu,4,60,electric,,35,55,40,50,50,90,320
26,raichu,8,300,electric,,60,90,55,90,80,110,485
27,sandshrew,6,120,ground,,50,75,85,20,30,40,300
28,sandslash,10,295,ground,,75,100,110,45,55,65,450
29,nidoran-f,4,70,poison,,55,47,52,40,40,41,275
30,nidorina,8,200,poison,,70,62,67,55,55,56,365
31,nidoqueen,13,600,poison,ground,90,92,87,75,85,76,505
32,nidoran-m,5,90,poison,,46,57,40,40,40,50,273
33,nidorino,9,195,poison,,61,72,57,55,55,65,365
34,nidoking,14,620,poison,ground,81,102,77,85,75,85,505
35,clefairy,6,75,fairy,,70,45,48,60,65,35,323
36,clefable,13,400,fairy,,95,70,73,95,90,60,483
37,vulpix,6,99,fire,,38,41,40,50,65,65,299
38,ninetales,11,199,fire,,73,76,75,81,100,100,505
